2, 10156, Note_on_c, 0, 76, 77
2, 10164, Note_on_c, 0, 74, 61
2, 10198, Note_off_c, 0, 76, 77
2, 10208, Note_off_c, 0, 74, 61
2, 10554, Note_on_c, 0, 76, 70
2, 10556, Note_on_c, 0, 72, 72
2, 10606, Note_off_c, 0, 76, 70
2, 10632, Note_off_c, 0, 72, 72
2, 10936, Note_on_c, 0, 74, 66
2, 10958, Note_on_c, 0, 72, 41
2, 10974, Note_off_c, 0, 74, 66
2, 10996, Note_off_c, 0, 72, 41
2, 11310, Note_on_c, 0, 74, 62
2, 11312, Note_on_c, 0, 71, 48
2, 11350, Note_off_c, 0, 74, 62
2, 11356, Note_off_c, 0, 71, 48
2, 11520, Note_on_c, 0, 72, 70
2, 11938, Note_off_c, 0, 72, 70
2, 12288, Note_on_c, 0, 79, 95
2, 12676, Note_off_c, 0, 79, 95
2, 12860, Note_on_c, 0, 79, 96
2, 13056, Note_on_c, 0, 78, 87
2, 13064, Note_off_c, 0, 79, 96
2, 13476, Note_off_c, 0, 78, 87
2, 13624, Note_on_c, 0, 77, 104
2, 13784, Note_off_c, 0, 77, 104
2, 13824, Note_on_c, 0, 76, 95
2, 14232, Note_off_c, 0, 76, 95
2, 14402, Note_on_c, 0, 75, 92
2, 14580, Note_off_c, 0, 75, 92
2, 14592, Note_on_c, 0, 74, 108
2, 14952, Note_off_c, 0, 74, 108
2, 15150, Note_on_c, 0, 67, 112
2, 15346, Note_off_c, 0, 67, 112
2, 15360, Note_on_c, 0, 79, 120
2, 15760, Note_off_c, 0, 79, 120
2, 15938, Note_on_c, 0, 79, 108
2, 16022, Note_on_c, 0, 78, 109
2, 16032, Note_off_c, 0, 79, 108
2, 16118, Note_off_c, 0, 78, 109
2, 16128, Note_on_c, 0, 77, 118
2, 16538, Note_off_c, 0, 77, 118
2, 16712, Note_on_c, 0, 77, 111
2, 16786, Note_on_c, 0, 76, 99
2, 16808, Note_off_c, 0, 77, 111
2, 16876, Note_off_c, 0, 76, 99
2, 16896, Note_on_c, 0, 75, 109
2, 17416, Note_off_c, 0, 75, 109
2, 17484, Note_on_c, 0, 78, 104
2, 17536, Note_off_c, 0, 78, 104
2, 17578, Note_on_c, 0, 79, 122
2, 17648, Note_off_c, 0, 79, 122
2, 17664, Note_on_c, 0, 74, 109
2, 18076, Note_off_c, 0, 74, 109
2, 18252, Note_on_c, 0, 77, 103
2, 18316, Note_off_c, 0, 77, 103
2, 18336, Note_on_c, 0, 74, 102
2, 18406, Note_off_c, 0, 74, 102
2, 18432, Note_on_c, 0, 72, 102
2, 18756, Note_off_c, 0, 72, 102
2, 19010, Note_on_c, 0, 72, 107
2, 19110, Note_on_c, 0, 76, 101
2, 19128, Note_off_c, 0, 72, 107
2, 19200, Note_on_c, 0, 79, 127
2, 19218, Note_off_c, 0, 76, 101
2, 19488, Note_off_c, 0, 79, 127
2, 19776, Note_on_c, 0, 79, 115
2, 19856, Note_off_c, 0, 79, 115
2, 19876, Note_on_c, 0, 76, 105
2, 19968, Note_off_c, 0, 76, 105
2, 19968, Note_on_c, 0, 81, 127
2, 20286, Note_off_c, 0, 81, 127
2, 20548, Note_on_c, 0, 81, 93
2, 20608, Note_off_c, 0, 81, 93
2, 20642, Note_on_c, 0, 84, 117
2, 20736, Note_off_c, 0, 84, 117
2, 20736, Note_on_c, 0, 79, 111
2, 21044, Note_off_c, 0, 79, 111
2, 21306, Note_on_c, 0, 76, 90
2, 21400, Note_off_c, 0, 76, 90
2, 21410, Note_on_c, 0, 79, 103
2, 21458, Note_off_c, 0, 79, 103
2, 21692, Note_on_c, 0, 79, 87
2, 21794, Note_on_c, 0, 78, 82
2, 21810, Note_off_c, 0, 79, 87
2, 21840, Note_off_c, 0, 78, 82
2, 22088, Note_on_c, 0, 74, 75
2, 22152, Note_off_c, 0, 74, 75
2, 22186, Note_on_c, 0, 77, 104
2, 22224, Note_off_c, 0, 77, 104
2, 22460, Note_on_c, 0, 77, 96
2, 22542, Note_off_c, 0, 77, 96
2, 22580, Note_on_c, 0, 76, 78
2, 22620, Note_off_c, 0, 76, 78
2, 22848, Note_on_c, 0, 79, 95
2, 22958, Note_on_c, 0, 76, 88
2, 22960, Note_off_c, 0, 79, 95
2, 23008, Note_off_c, 0, 76, 88
2, 23238, Note_on_c, 0, 73, 63
2, 23316, Note_off_c, 0, 73, 63
2, 23336, Note_on_c, 0, 74, 79
2, 23376, Note_off_c, 0, 74, 79
2, 23612, Note_on_c, 0, 77, 79
2, 23712, Note_off_c, 0, 77, 79
2, 23712, Note_on_c, 0, 74, 74
2, 23750, Note_off_c, 0, 74, 74
2, 23988, Note_on_c, 0, 71, 27
2, 24046, Note_off_c, 0, 71, 27
2, 24074, Note_on_c, 0, 72, 55
2, 24120, Note_off_c, 0, 72, 55
2, 24576, Note_on_c, 0, 79, 77
2, 24852, Note_off_c, 0, 79, 77
2, 25150, Note_on_c, 0, 79, 90
